Actor,Title,Your Rating,Title Type,IMDb Rating,Num Votes,Release Date,Director
Harrison Ford,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Mark Hamill,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Carrie Fisher,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
David Prowse,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Anthony Daniels,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Kenny Baker,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Peter Mayhew,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Alec Guinness,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Frank Oz,Star Wars: Episode V - The Empire Strikes Back,9,Movie,8.7,1421163,1980-05-21,Irvin Kershner
Harrison Ford,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Mark Hamill,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Peter Cushing,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Carrie Fisher,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Anthony Daniels,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Alec Guinness,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Peter Mayhew,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Kenny Baker,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Phil Brown,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
David Prowse,Star Wars: Episode IV - A New Hope,8,Movie,8.6,1489861,1978-01-29,George Lucas
Robert De Niro,Killers of the Flower Moon,8,Movie,7.6,271618,2023-10-20,Martin Scorsese
Leonardo DiCaprio,Killers of the Flower Moon,8,Movie,7.6,271618,2023-10-20,Martin Scorsese
Jesse Plemons,Killers of the Flower Moon,8,Movie,7.6,271618,2023-10-20,Martin Scorsese
