Actor,Appearances,Avg IMDb Rating,My Avg Rating
Tom Hanks,11,7.736363636363635,7.909090909090909
Leonardo DiCaprio,10,8.1,8.3
Tom Hardy,10,7.409999999999999,7.6
Jake Gyllenhaal,9,7.544444444444445,7.888888888888889
Samuel L. Jackson,9,7.51111111111111,7.666666666666667
Woody Harrelson,9,7.422222222222222,7.333333333333333
Christian Bale,8,8.0625,8.25
Morgan Freeman,8,7.85,7.875
Daniel Radcliffe,8,7.7,7.75
Robert Downey Jr.,8,7.7125,7.75
Mark Ruffalo,8,7.925,7.5
Johnny Depp,8,7.1125,7.25
Stephen Graham,8,7.1,7.25
Will Ferrell,8,6.3375,6.75
Andy Serkis,7,7.742857142857143,8.285714285714286
Matt Damon,7,7.971428571428571,8.285714285714286
Martin Freeman,7,8.014285714285714,8.142857142857142
Gary Oldman,7,7.814285714285715,7.857142857142857
John Lithgow,7,7.314285714285714,7.714285714285714
Benedict Cumberbatch,7,8.114285714285714,7.571428571428571
Josh Brolin,7,7.714285714285714,7.571428571428571
Emily Blunt,7,7.485714285714286,7.428571428571429
Mark Wahlberg,7,6.614285714285714,7.0
Patrick Wilson,7,6.557142857142857,6.571428571428571
Matthew McConaughey,6,8.1,8.833333333333334
Jon Bernthal,6,7.866666666666666,8.166666666666666
Orlando Bloom,6,8.216666666666667,8.166666666666666
Robert De Niro,6,8.0,8.166666666666666
Kevin Spacey,6,7.766666666666667,8.0
Ben Affleck,6,7.5,7.833333333333333
Brad Pitt,6,8.049999999999999,7.833333333333333
Colin Farrell,6,7.533333333333334,7.833333333333333
John Ratzenberger,6,8.216666666666667,7.833333333333333
Hugh Jackman,6,7.883333333333333,7.666666666666667
Jason Clarke,6,7.266666666666667,7.666666666666667
Harry Melling,6,7.783333333333334,7.5
Jamie Foxx,6,7.483333333333333,7.5
Richard Griffiths,6,7.466666666666666,7.5
Rupert Grint,6,7.433333333333334,7.5
Ryan Reynolds,6,7.3500000000000005,7.166666666666667
Cillian Murphy,5,8.6,8.8
Aaron Paul,5,8.26,8.4
Ed Harris,5,7.68,8.4
Michael Caine,5,8.26,8.2
Stellan Skarsgård,5,8.02,8.2
Jared Leto,5,7.38,8.0
Laurence Fishburne,5,7.779999999999999,8.0
Robin Wright,5,7.859999999999999,8.0
Chiwetel Ejiofor,5,7.139999999999999,7.8
Denzel Washington,5,7.140000000000001,7.8
Emma Watson,5,7.7,7.8
Liam Neeson,5,7.539999999999999,7.8
Ralph Fiennes,5,7.8199999999999985,7.8
Richard Armitage,5,7.4,7.8
Seth MacFarlane,5,7.26,7.8
Ethan Hawke,5,7.42,7.6
Ian McKellen,5,7.4,7.6
Scarlett Johansson,5,7.76,7.6
Fiona Shaw,5,7.540000000000001,7.4
Jon Favreau,5,7.76,7.4
Michael Keaton,5,7.540000000000001,7.4
Michelle Williams,5,7.18,7.4
Tom Cruise,5,7.659999999999999,7.4
Zendaya,5,7.76,7.4
Anya Taylor-Joy,5,7.32,7.2
Jesse Plemons,5,7.08,7.2
Miles Teller,5,7.140000000000001,7.2
Vera Farmiga,5,7.220000000000001,7.2
Nicole Kidman,5,6.9,7.0
Willem Dafoe,5,7.4,6.8
Steve Carell,5,6.74,6.6
Dwayne Johnson,5,6.12,6.4
Giancarlo Esposito,4,8.9,9.25
Paul Sparks,4,8.375,8.75
Joseph Gordon-Levitt,4,7.9750000000000005,8.5
Bruce Willis,4,7.4,8.25
Domhnall Gleeson,4,7.725,8.25
Jeffrey Wright,4,7.775,8.25
Jennifer Connelly,4,8.075,8.25
Martin Sheen,4,7.975,8.25
Paul Anderson,4,7.75,8.25
Rachel McAdams,4,8.0,8.25
Sally Field,4,7.4,8.25
Shea Whigham,4,7.975,8.25
Andrew Garfield,4,7.275,8.0
Anthony Hopkins,4,8.05,8.0
Bill Camp,4,8.05,8.0
Cate Blanchett,4,8.0,8.0
Christopher Plummer,4,8.05,8.0
Embeth Davidtz,4,7.425,8.0
Henry Thomas,4,7.825,8.0
Jon Hamm,4,7.975,8.0
Jonah Hill,4,7.625,8.0
Jonathan Banks,4,8.025,8.0
Mark Strong,4,7.5,8.0
Michael Kelly,4,7.275,8.0
Michelle Monaghan,4,7.625,8.0
Daniel Craig,4,7.525,7.75
Graham McTavish,4,7.65,7.75
Michael Shannon,4,7.925,7.75
Carla Gugino,4,7.475,7.5
Chris Hemsworth,4,8.2,7.5
James Franco,4,6.925,7.5
Javier Bardem,4,7.625,7.5
Jude Law,4,7.225,7.5
Ryan Gosling,4,7.6,7.5
Tessa Thompson,4,7.7,7.5
Wallace Shawn,4,8.125,7.5
Bill Hader,4,7.699999999999999,7.25
Giovanni Ribisi,4,7.425,7.25
James Marsden,4,7.125,7.25
James McAvoy,4,7.125,7.25
Jeremy Renner,4,7.825,7.25
Russell Crowe,4,7.35,7.25
Tom Holland,4,7.85,7.25
Alyson Hannigan,4,7.0,7.0
Dave Bautista,4,6.75,7.0
Emma Stone,4,7.15,7.0
Seth Rogen,4,7.074999999999999,7.0
Michael B. Jordan,4,6.699999999999999,6.75
Paul Giamatti,4,6.9,6.75
John C. Reilly,4,6.825,6.5
Paul Rudd,4,7.225,6.5
Eugene Levy,4,6.25,6.25
Billy Boyd,3,8.9,9.0
Bob Odenkirk,3,8.633333333333333,9.0
Sean Astin,3,8.9,9.0
Ben Kingsley,3,7.7,8.666666666666666
Daniel Day-Lewis,3,7.666666666666667,8.666666666666666
Ellen Burstyn,3,8.233333333333333,8.666666666666666
Harrison Ford,3,8.566666666666666,8.666666666666666
Pete Postlethwaite,3,8.266666666666667,8.666666666666666
Sean Bean,3,8.633333333333333,8.666666666666666
Taylor Kitsch,3,8.133333333333333,8.666666666666666
Barry Pepper,3,8.266666666666666,8.333333333333334
Bryan Cranston,3,7.566666666666666,8.333333333333334
Edward Norton,3,8.133333333333333,8.333333333333334
Jeff Daniels,3,7.866666666666667,8.333333333333334
Josh Lucas,3,7.966666666666666,8.333333333333334
Mark Boone Junior,3,8.366666666666667,8.333333333333334
Mark Hamill,3,8.333333333333334,8.333333333333334
Michael Kenneth Williams,3,8.200000000000001,8.333333333333334
Robert Duvall,3,8.299999999999999,8.333333333333334
Scoot McNairy,3,7.599999999999999,8.333333333333334
Tamara Tunie,3,7.633333333333333,8.333333333333334
Ted Levine,3,8.2,8.333333333333334
Tim Roth,3,8.333333333333334,8.333333333333334
Aidan Turner,3,7.666666666666667,8.0
Al Pacino,3,8.166666666666666,8.0
Bonnie Wright,3,7.666666666666667,8.0
Chris Pratt,3,8.066666666666666,8.0
Daniel Brühl,3,8.1,8.0
Dean O'Gorman,3,7.666666666666667,8.0
Geraldine James,3,7.6000000000000005,8.0
Idris Elba,3,7.566666666666667,8.0
James Nesbitt,3,7.666666666666667,8.0
Joaquin Phoenix,3,7.666666666666667,8.0
John Carroll Lynch,3,7.7,8.0
Karin Konoval,3,7.533333333333334,8.0
Karl Urban,3,7.633333333333333,8.0
Keira Knightley,3,7.833333333333333,8.0
Kelly Reilly,3,7.433333333333334,8.0
Ken Stott,3,7.666666666666667,8.0
Kirsten Dunst,3,7.766666666666667,8.0
Paul Dano,3,7.8,8.0
Rami Malek,3,7.366666666666667,8.0
Sala Baker,3,7.866666666666667,8.0
Sam Worthington,3,7.833333333333333,8.0
Sonoya Mizuno,3,7.6000000000000005,8.0
Stephen Hunter,3,7.666666666666667,8.0
Taron Egerton,3,7.3,8.0
Terry Notary,3,7.533333333333334,8.0
Titus Welliver,3,7.866666666666667,8.0
William Kircher,3,7.666666666666667,8.0
Zoë Kravitz,3,7.466666666666666,8.0
Alfred Molina,3,7.033333333333332,7.666666666666667
Amy Poehler,3,7.433333333333333,7.666666666666667
Ben Mendelsohn,3,7.166666666666667,7.666666666666667
Benicio Del Toro,3,7.766666666666667,7.666666666666667
Carmen Ejogo,3,7.3,7.666666666666667
Chloë Sevigny,3,7.7,7.666666666666667
Chris Cooper,3,7.5,7.666666666666667
Connie Nielsen,3,7.3999999999999995,7.666666666666667
Daniel Mays,3,7.266666666666666,7.666666666666667
Don Rickles,3,8.166666666666666,7.666666666666667
Henry Cavill,3,6.8,7.666666666666667
Jack Davenport,3,7.733333333333333,7.666666666666667
Joel Kinnaman,3,7.166666666666667,7.666666666666667
Nick Offerman,3,7.6000000000000005,7.666666666666667
Noah Jupe,3,7.666666666666667,7.666666666666667
Oscar Isaac,3,7.5,7.666666666666667
Patrick Warburton,3,7.1000000000000005,7.666666666666667
RZA,3,7.233333333333333,7.666666666666667
Rooney Mara,3,7.633333333333333,7.666666666666667
Sandra Bullock,3,7.1000000000000005,7.666666666666667
Stanley Tucci,3,7.066666666666666,7.666666666666667
Steve Buscemi,3,8.333333333333334,7.666666666666667
Tim Allen,3,8.166666666666666,7.666666666666667
Aaron Taylor-Johnson,3,7.133333333333333,7.333333333333333
Adam Scott,3,7.433333333333334,7.333333333333333
Amy Adams,3,7.5,7.333333333333333
Barry Keoghan,3,7.533333333333334,7.333333333333333
Bill Smitrovich,3,6.933333333333334,7.333333333333333
Bradley Cooper,3,7.266666666666667,7.333333333333333
Chadwick Boseman,3,8.033333333333333,7.333333333333333
Chris Evans,3,8.233333333333334,7.333333333333333
David Harbour,3,7.166666666666667,7.333333333333333
Forest Whitaker,3,7.6000000000000005,7.333333333333333
J.K. Simmons,3,7.733333333333333,7.333333333333333
Jim Broadbent,3,7.333333333333333,7.333333333333333
Jonathan Pryce,3,7.066666666666666,7.333333333333333
Kathryn Hahn,3,7.033333333333334,7.333333333333333
Mila Kunis,3,7.366666666666667,7.333333333333333
Mélanie Laurent,3,7.5,7.333333333333333
Nathan Fillion,3,6.6000000000000005,7.333333333333333
Victoria Pedretti,3,7.866666666666667,7.333333333333333
Zach Galifianakis,3,6.766666666666667,7.333333333333333
Brian Cox,3,7.066666666666666,7.0
Channing Tatum,3,6.633333333333333,7.0
Christopher McDonald,3,6.233333333333333,7.0
Craig T. Nelson,3,7.166666666666667,7.0
Edgar Ramírez,3,7.233333333333333,7.0
Fred Willard,3,7.266666666666667,7.0
Geoffrey Rush,3,7.066666666666666,7.0
Guy Pearce,3,7.7,7.0
Jacob Batalon,3,7.666666666666667,7.0
Jennifer Lawrence,3,7.466666666666666,7.0
Jeremy Irons,3,7.1000000000000005,7.0
Michael Peña,3,6.8999999999999995,7.0
Ray Liotta,3,7.566666666666666,7.0
Toby Kebbell,3,6.433333333333334,7.0
Garret Dillahunt,3,6.633333333333333,6.666666666666667
Jason Momoa,3,6.8999999999999995,6.666666666666667
Jesse Eisenberg,3,7.066666666666666,6.666666666666667
Kevin McNally,3,6.833333333333333,6.666666666666667
Sofía Vergara,3,6.366666666666667,6.666666666666667
T.J. Miller,3,6.5,6.666666666666667
Halle Berry,3,6.3999999999999995,6.333333333333333
Jason Biggs,3,6.566666666666666,6.333333333333333
Patrick Stewart,3,6.3,6.333333333333333
Thomas Ian Nicholas,3,6.566666666666666,6.333333333333333
Ray Stevenson,3,6.066666666666666,5.666666666666667
Josh Hutcherson,3,6.533333333333334,5.333333333333333
Adelaide Clemens,2,7.35,9.0
Charlie Hunnam,2,8.15,9.0
Dean Norris,2,7.9,9.0
Ewan McGregor,2,7.800000000000001,9.0
James Remar,2,8.55,9.0
Jeffrey DeMunn,2,8.8,9.0
John Bach,2,8.9,9.0
Julia Garner,2,8.2,9.0
Lorraine Bracco,2,8.95,9.0
Mahershala Ali,2,8.75,9.0
